"ID","AVAM_CODE_OLD","AVAM_CODE_NEW","BFS_CODE_NEW","CHISCO3_CODE","CHISCO5_CODE","DESCRIPTION"
"a6b9eb69-782b-4eb1-b97c-ac55838eff3d","63913","101493","51103176","311","31122","Techniker, Gebäudetechnik"
"736d7c37-1113-4af8-88f9-9860ba21b5dc","63909","101493","51103176","311","31122","Techniker, Gebäudetechnik"
"4e295362-5fbe-4ad8-8bd3-7cfa0239d56a","63935","101493","51103176","311","31122","Techniker, Gebäudetechnik"
"c23d9ada-bc43-487b-aaec-49b1cfdf862e","52564","101493","51103176","311","31122","Techniker, Gebäudetechnik"
"185919ec-137f-4a1e-9d5a-a09925a12d92","63401","101493","51103176","311","31122","Techniker, Gebäudetechnik"
"b242649b-46ce-4aec-bfac-1262c9a3f1b9","100024","101493","51103176","311","31122","Techniker, Gebäudetechnik"
"9e9e4ca6-7a3b-4d9b-aa01-10bd0f816140","63938","101494","29201014","311","31130","Techniker, Energietechnik"
"3b39f0ba-f5ed-4fb9-ac18-3d97b83c8ab1","100031","101494","29201014","311","31130","Techniker, Energietechnik"
"db3fd4be-63ef-4529-b86d-1d814e89b87b","64502","101495","29405020","311","31130","Elektrokonstrukteur"
"1c8ef635-45c7-4b54-b986-27e801377caa","64501","101495","29405020","311","31130","Elektrokonstrukteur"
"440bfb09-cc4c-4a64-88f6-729ab42bbe2f","64504","101495","29405020","311","31130","Elektrokonstrukteur"
"2d3b5d6a-e89d-464d-8e12-a539cf22dd2f","64503","101495","29405020","311","31130","Elektrokonstrukteur"
"031197a2-2f93-4e4f-9eaf-82de5b96413a","47424","101495","29405020","311","31130","Elektrokonstrukteur"
"8231edb5-922c-4d37-a8be-95a8430f9215","65506","101495","29405020","311","31130","Elektrokonstrukteur"
"ccd44313-6ec0-41f7-87e5-466a273b5b30","47508","101497","51102348","311","31130","Elektroplaner"
"0e3ea6ab-4027-4919-9645-36294e9f29ac","66528","101498","51102914","311","31130","Projekt- und Werkstattleiter im Schaltanlagenbau"
"51228e64-999c-4670-89d6-e2d23853c051","47420","101498","51102914","311","31130","Projekt- und Werkstattleiter im Schaltanlagenbau"
"557c869d-7e68-48b8-9883-e26477c82238","63201","101500","51103166","311","31130","Techniker, Elektrotechnik"
"4d95576c-e354-4273-a73b-fa9599d57e5b","63202","101500","51103166","311","31130","Techniker, Elektrotechnik"
"c4121150-46be-4356-898c-304109662450","63203","101500","51103166","311","31130","Techniker, Elektrotechnik"
